"court_name","local_authority_names"
"Bristol Civil Justice Centre","Bath and North East Somerset Council,Bristol City Council,North Somerset Council,Gloucestershire County Council,South Gloucestershire Council"
"Gloucester and Cheltenham County Court","Bath and North East Somerset Council,Bristol City Council,North Somerset Council,Gloucestershire County Council,South Gloucestershire Council"
"Bournemouth and Poole County Court","Dorset County Council,Poole Borough Council,Bournemouth Borough Council"
"Portsmouth Combined Court Centre","Portsmouth City Council,Southampton City Council,Isle of Wight Council,Hampshire County Council"
"Southampton Combined Court Centre","Portsmouth City Council,Southampton City Council,Isle of Wight Council,Hampshire County Council"
"Basingstoke County Court","Portsmouth City Council,Southampton City Council,Isle of Wight Council,Hampshire County Council"
"Plymouth Combined Court","Plymouth City Council,Torbay Borough Council,Devon County Council"
"Swindon Combined Court","Swindon Borough Council,Wiltshire Council"
"Taunton County Court","Somerset County Council"
"Truro County Court","Cornwall Council"
"Exeter Combined Court Centre","Devon County Council"
"Luton County Court","Luton Borough Council,Central Bedfordshire Council,Bedford Borough Council"
"Chelmsford County and Family Proceedings Court","Essex County Council,Southend-on-Sea Borough Council,Thurrock Borough Council,Suffolk County Council"
"Ipswich County Court","Essex County Council,Southend-on-Sea Borough Council,Thurrock Borough Council"
"Medway County Court","Kent County Council,Medway Council"
"Peterborough Combined Court Centre","Peterborough City Council,Cambridgeshire County Council,Rutland County Council"
"Milton Keynes County Court","Buckinghamshire County Council,Milton Keynes Council,Oxfordshire County Council"
"Oxford Combined Court Centre","Buckinghamshire County Council,Milton Keynes Council,Oxfordshire County Council"
"Brighton County Court","East Sussex County Council,West Sussex County Council,Brighton and Hove City Council"
"Norwich Combined Court Centre","Norfolk County Council"
"Guildford County Court","Surrey County Council"
"Reading County Court","Reading Borough Council,Slough Borough Council,Bracknell Forest Council,Wokingham Borough Council,West Berkshire Council,Windsor and Maidenhead Council"
"Swansea Civil Justice Centre","Swansea Council,Neath Port Talbot Council,Carmarthenshire Council,Pembrokeshire Council,Ceredigion Council,Powys Council"
"Haverfordwest County Court","Swansea Council,Neath Port Talbot Council,Carmarthenshire Council,Pembrokeshire Council,Ceredigion Council,Powys Council"
"Cardiff Civil Justice Centre","Newport Council,Monmouthshire Council,Caerphilly Council,Torfaen Council,Blaenau Gwent Council,Cardiff Council,Rhondda Cynon Taf Council,Merthyr Tydfil Council,Vale of Glamorgan Council,Bridgend Council"
"Newport (Gwent) Civil and Family Court","Newport Council,Monmouthshire Council,Caerphilly Council,Torfaen Council,Blaenau Gwent Council,Cardiff Council,Rhondda Cynon Taf Council,Merthyr Tydfil Council,Vale of Glamorgan Council,Bridgend Council"
"Wrexham Magistrates' Court","Wrexham Council,Flintshire Council,Denbighshire Council,Powys Council,Conwy Council,Gwynedd Council,Isle of Anglesey Council"
"Caernarfon County Court","Wrexham Council,Flintshire Council,Denbighshire Council,Powys Council,Conwy Council,Gwynedd Council,Isle of Anglesey Council"
"Wolverhampton Combined Court Centre","Sandwell Borough Council,Dudley Borough Council,Wolverhampton City Council,Walsall Borough Council,Telford and Wrekin Council,Shropshire Council"
"Northampton Crown and County Court","Northamptonshire County Council"
"Birmingham Civil Justice Centre and Family Courts","Birmingham City Council,Solihull Borough Council"
"Coventry Combined Court Centre","Coventry City Council,Warwickshire County Council"
"Derby Combined Court Centre","Derby City Council,Derbyshire County Council"
"Nottingham County Court","Nottingham City Council,Nottinghamshire County Council"
"Leicester County Court","Leicester City Council,Leicestershire County Council"
"Worcester Combined Court","Herefordshire Council,Worcestershire County Council"
"Stoke-on-Trent Combined Court","Stoke-on-Trent City Council,Staffordshire County Council"
"Lincoln County Court","Lincolnshire County Council"
"Principal Registry of the Family Division","Camden Borough Council,City of London Corporation,Greenwich Borough Council,Hammersmith and Fulham Borough Council,Hackney Borough Council,Islington Borough Council,Kensington and Chelsea Borough Council,Lambeth Borough Council,Lewisham Borough Council,Southwark Borough Council,Wandsworth Borough Council"
"Barnet Civil and Family Courts Centre","Harrow Borough Council,Barnet Borough Council,Haringey Borough Council,Enfield Borough Council"
"Willesden County Court","Harrow Borough Council,Brent Borough Council,Ealing Borough Council"
"Edmonton County Court","Haringey Borough Council,Enfield Borough Council,Waltham Forest Borough Council"
"Brentford County Court","Ealing Borough Council,Hounslow Borough Council"
"Uxbridge County Court","Ealing Borough Council,Hillingdon Borough Council"
"Kingston-upon-Thames County Court","Kingston upon Thames Borough Council,Richmond upon Thames Borough Council,Merton Borough Council"
"Croydon County Court","Merton Borough Council,Croydon Borough Council,Sutton Borough Council"
"Wandsworth County Court","Merton Borough Council"
"Bromley County Court","Bexley Borough Council,Bromley Council,Lewisham Borough Council"
"Romford County Court","Barking and Dagenham Borough Council,Havering Borough Council,Redbridge Borough Council"
"Bow County Court","Redbridge Borough Council,Newham Borough Council,Tower Hamlets Borough Council,Waltham Forest Borough Council"
"Woolwich County Court","Greenwich Borough Council"
"Newcastle upon Tyne Combined Court Centre","South Tyneside Borough Council,Sunderland City Council,Gateshead Borough Council,Newcastle upon Tyne City Council,North Tyneside Borough Council,Northumberland County Council,Durham County Council"
"Teesside Combined Court Centre","Middlesbrough Council,Stockton-on-Tees Borough Council,Hartlepool Borough Council,Redcar and Cleveland Borough Council,Darlington Borough Council,Durham County Council"
"Leeds Combined Court Centre","Kirklees Borough Council,Bradford City Council,Calderdale Borough Council,Leeds City Council,Wakefield City Council"
"Huddersfield County Court","Kirklees Borough Council,Bradford City Council,Calderdale Borough Council,Leeds City Council,Wakefield City Council"
"Wakefield Civil Justice Centre","Kirklees Borough Council,Bradford City Council,Calderdale Borough Council,Leeds City Council,Wakefield City Council"
"York County Court","North Yorkshire County Council,City of York Council"
"Sheffield Combined Court Centre","Sheffield City Council,Doncaster Borough Council,Barnsley Borough Council,Rotherham Borough Council"
"Kingston-upon-Hull Combined Court Centre","East Riding of Yorkshire Council,Hull City Council,North Lincolnshire Council,North East Lincolnshire Council"
"Great Grimsby Combined Court Centre","East Riding of Yorkshire Council,Hull City Council,North Lincolnshire Council,North East Lincolnshire Council"
"Manchester County Court","Bolton Borough Council,Bury Borough Council,Manchester City Council,Salford City Council,Oldham Borough Council,Rochdale Borough Council,Stockport Borough Council,Tameside Borough Council,Trafford Borough Council,Wigan Borough Council"
"Preston Combined Court Centre","Lancashire County Council,Blackburn with Darwen Borough Council,Blackpool Borough Council"
"Carlisle Combined Court Centre","Cumbria County Council"
"Barrow-in-Furness County Court","Cumbria County Council"
"Liverpool Civil and Family Court","Cheshire East Council,Cheshire West and Chester Council,Halton Borough Council,Knowsley Borough Council,Liverpool City Council,Sefton Borough Council,St Helens Borough Council,Warrington Borough Council,Wirral Borough Council"
